#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Nov 13 22:45:01 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cpu_map.ncd
#OUTPUT FILE:      cpu_pad.csv
#PART TYPE:        xc6slx16
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,next_pc<3>,IOB,IO_L2N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A3,next_pc<7>,IOB,IO_L4N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A4,next_pc<9>,IOB,IO_L5N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A5,next_pc<11>,IOB,IO_L6N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A6,next_pc<15>,IOB,IO_L8N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A7,next_pc<19>,IOB,IO_L10N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A8,next_pc<25>,IOB,IO_L33N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A9,next_pc<29>,IOB,IO_L35N_GCLK16_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A10,pc_addr<1>,IOB,IO_L37N_GCLK12_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A11,pc_addr<5>,IOB,IO_L39N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A12,pc_addr<9>,IOB,IO_L41N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A13,pc_addr<15>,IOB,IO_L50N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A14,pc_addr<19>,IOB,IO_L62N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A15,pc_addr<23>,IOB,IO_L64N_SCP4_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A16,pc_addr<27>,IOB,IO_L66N_SCP0_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,VCCAUX,,,,,,,,2.5,,,,
B2,next_pc<2>,IOB,IO_L2P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B3,next_pc<6>,IOB,IO_L4P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B4,next_pc<8>,IOB,IO_L5P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B5,,,VCCO_0,,,0,,,,,2.50,,,,
B6,next_pc<14>,IOB,IO_L8P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B7,,,GND,,,,,,,,,,,,
B8,next_pc<24>,IOB,IO_L33P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B9,next_pc<28>,IOB,IO_L35P_GCLK17_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B10,,,VCCO_0,,,0,,,,,2.50,,,,
B11,pc_addr<4>,IOB,IO_L39P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B12,pc_addr<8>,IOB,IO_L41P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B13,,,GND,,,,,,,,,,,,
B14,pc_addr<18>,IOB,IO_L62P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B15,,,VCCO_0,,,0,,,,,2.50,,,,
B16,pc_addr<26>,IOB,IO_L66P_SCP1_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B17,,,VCCAUX,,,,,,,,2.5,,,,
B18,,,TMS,,,,,,,,,,,,
C1,equal,IOB,IO_L83N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
C2,current_state<3>,IOB,IO_L83P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
C3,,,GND,,,,,,,,,,,,
C4,next_pc<1>,IOB,IO_L1N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C5,next_pc<10>,IOB,IO_L6P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C6,next_pc<5>,IOB,IO_L3N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C7,next_pc<18>,IOB,IO_L10P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C8,next_pc<21>,IOB,IO_L11N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C9,next_pc<23>,IOB,IO_L34N_GCLK18_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C10,pc_addr<0>,IOB,IO_L37P_GCLK13_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C11,next_pc<31>,IOB,IO_L36N_GCLK14_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C12,pc_addr<13>,IOB,IO_L47N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C13,pc_addr<14>,IOB,IO_L50P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C14,pc_addr<25>,IOB,IO_L65N_SCP2_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C15,pc_addr<22>,IOB,IO_L64P_SCP5_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C16,,,GND,,,,,,,,,,,,
C17,current_op<20>,IOB,IO_L29P_A23_M1A13_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C18,current_op<15>,IOB,IO_L29N_A22_M1A14_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D1,reg_write_data<30>,IOB,IO_L52N_M3A9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D2,reg_write_data<29>,IOB,IO_L52P_M3A8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D3,current_state<0>,IOB,IO_L54N_M3A11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
D4,next_pc<0>,IOB,IO_L1P_HSWAPEN_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D5,,,GND,,,,,,,,,,,,
D6,next_pc<4>,IOB,IO_L3P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D7,,,VCCO_0,,,0,,,,,2.50,,,,
D8,next_pc<20>,IOB,IO_L11P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D9,next_pc<22>,IOB,IO_L34P_GCLK19_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D10,,,GND,,,,,,,,,,,,
D11,next_pc<30>,IOB,IO_L36P_GCLK15_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D12,pc_addr<12>,IOB,IO_L47P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D13,,,VCCO_0,,,0,,,,,2.50,,,,
D14,pc_addr<24>,IOB,IO_L65P_SCP3_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D15,,,TDI,,,,,,,,,,,,
D16,,,TDO,,,,,,,,,,,,
D17,pc_addr<28>,IOB,IO_L31P_A19_M1CKE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D18,current_op<22>,IOB,IO_L31N_A18_M1A12_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E1,reg_write_data<26>,IOB,IO_L50N_M3BA2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,,,VCCO_3,,,3,,,,,2.50,,,,
E3,reg_write_data<25>,IOB,IO_L50P_M3WE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,current_state<2>,IOB,IO_L54P_M3RESET_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
E5,,,VCCAUX,,,,,,,,2.5,,,,
E6,next_pc<13>,IOB,IO_L7N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E7,next_pc<16>,IOB,IO_L9P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E8,next_pc<17>,IOB,IO_L9N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E9,,,VCCAUX,,,,,,,,2.5,,,,
E10,,,VCCO_0,,,0,,,,,2.50,,,,
E11,pc_addr<11>,IOB,IO_L42N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E12,pc_addr<17>,IOB,IO_L51N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E13,pc_addr<21>,IOB,IO_L63N_SCP6_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E14,,,VCCAUX,,,,,,,,2.5,,,,
E15,,,GND,,,,,,,,,,,,
E16,current_op<0>,IOB,IO_L33P_A15_M1A10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E17,,,VCCO_1,,,1,,,,,2.50,,,,
E18,current_op<19>,IOB,IO_L33N_A14_M1A4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F1,reg_write_data<22>,IOB,IO_L48N_M3BA1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F2,reg_write_data<21>,IOB,IO_L48P_M3BA0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F3,reg_write_data<28>,IOB,IO_L51N_M3A4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F4,reg_write_data<27>,IOB,IO_L51P_M3A10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F5,current_state<4>,IOB,IO_L55N_M3A14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
F6,current_state<1>,IOB,IO_L55P_M3A13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
F7,next_pc<12>,IOB,IO_L7P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F8,next_pc<27>,IOB,IO_L32N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F9,pc_addr<3>,IOB,IO_L38N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F10,pc_addr<7>,IOB,IO_L40N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F11,pc_addr<10>,IOB,IO_L42P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F12,pc_addr<16>,IOB,IO_L51P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F13,pc_addr<20>,IOB,IO_L63P_SCP7_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F14,current_op<26>,IOB,IO_L30P_A21_M1RESET_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F15,current_op<18>,IOB,IO_L1P_A25_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F16,current_op<16>,IOB,IO_L1N_A24_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F17,current_op<4>,IOB,IO_L35P_A11_M1A7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F18,pc_addr<31>,IOB,IO_L35N_A10_M1A2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,reg_write_data<18>,IOB,IO_L46N_M3CLKN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G2,,,GND,,,,,,,,,,,,
G3,reg_write_data<17>,IOB,IO_L46P_M3CLK_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G4,,,VCCO_3,,,3,,,,,2.50,,,,
G5,,,GND,,,,,,,,,,,,
G6,res_zero,IOB,IO_L53N_M3A12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,next_pc<26>,IOB,IO_L32P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G9,pc_addr<2>,IOB,IO_L38P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,pc_addr<6>,IOB,IO_L40P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G12,,,GND,,,,,,,,,,,,
G13,current_op<28>,IOB,IO_L32N_A16_M1A9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G14,current_op<17>,IOB,IO_L30N_A20_M1A11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G15,,,VCCO_1,,,1,,,,,2.50,,,,
G16,current_op<10>,IOB,IO_L38P_A5_M1CLK_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G17,,,GND,,,,,,,,,,,,
G18,current_op<5>,IOB,IO_L38N_A4_M1CLKN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,alu_res<31>,IOB,IO_L41N_GCLK26_M3DQ5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,reg_write_data<8>,IOB,IO_L41P_GCLK27_M3DQ4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,reg_write_data<14>,IOB,IO_L44N_GCLK20_M3A6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H4,reg_write_data<13>,IOB,IO_L44P_GCLK21_M3A5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,reg_write_data<24>,IOB,IO_L49N_M3A2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H6,reg_write_data<23>,IOB,IO_L49P_M3A7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H7,reg_write_data<31>,IOB,IO_L53P_M3CKE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.2,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCINT,,,,,,,,1.2,,,,
H12,pc_addr<30>,IOB,IO_L32P_A17_M1A8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H13,current_op<6>,IOB,IO_L36P_A9_M1BA0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
